"Id","s20q1","s20q2","s20q3","s20q4","s20q5","s20q6_1","s20q6_2","s20q6_3","s20q6_4","s20q7_1","s20q7_2","s20q7_3","s20q7_4","s20q8_1","s20q8_2","s20q8_3","s20q8_4","s20q8_5","s20q8_6","s20q8_7","s20q8_8","s20q8_9","s20q8_10","s20q9","s20q10","s20q11","s20q12","s20q13","s20q14","s20q15","s20q16","s20q17","s20q18","s20q19","s20q20","s20q21","s20q22","s20q23","s20q24","s20q25","s20q26","s20q27","s20q28","s20q29","s20q30","s20q31","s20q32","s20q33","s20q34","s20q35","s20q36","s20q37","s20q38","s20q39","s20q40","s20q41","s20q42","s20q43","s20q44","s20q45","s20q46","s20q47","s20q48","s20q49","s20q50","s20q51","s20q52","s20q53","s20q54","s20q55","s20q56","s20q57","s20q58","s20q59","s20q60","s20q61","s20q62_1","s20q62_2","s20q62_3","s20q62_4","s20q62_5","s20q62_6","s20q63","s20q64","s20q65","s20q66","s20q67","s20","AAR","AlderKat","Kommune2015","Fylke","Kommunestr","Spraak","Kommune2013","s20ACSI"
"rqtAxmm",2.000000,2.000000,1.000000,1.000000,2.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,3.000000,4.000000,4.000000,4.000000,5.000000,5.000000,3.000000,2.000000,2.000000,2.000000,2.000000,2.000000,5.000000,5.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,4.000000,8.000000,,8.000000,5.000000,5.000000,5.000000,5.000000,5.000000,6.000000,6.000000,6.000000,8.000000,8.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,5.000000,5.000000,5.000000,6.000000,5.000000,4.000000,5.000000,5.000000,4.000000,,,,,,,,,4.000000,5.000000,5.000000,4.000000,5.000000,1.000000,3.000000,1.000000,"1504",15.000000,3.000000,2.000000,,61.11333333333334
"rqtAznm",1.000000,2.000000,1.000000,2.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,8.000000,4.000000,7.000000,7.000000,7.000000,7.000000,5.000000,8.000000,5.000000,8.000000,8.000000,6.000000,7.000000,7.000000,7.000000,7.000000,8.000000,7.000000,7.000000,7.000000,8.000000,8.000000,,8.000000,7.000000,7.000000,8.000000,7.000000,7.000000,7.000000,7.000000,8.000000,8.000000,8.000000,7.000000,,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,8.000000,7.000000,7.000000,4.000000,,,,,,,,,7.000000,7.000000,7.000000,7.000000,7.000000,1.000000,3.000000,4.000000,"0215",2.000000,2.000000,2.000000,,100.000000
"rqtAabb",1.000000,1.000000,1.000000,1.000000,2.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,3.000000,6.000000,5.000000,7.000000,5.000000,2.000000,2.000000,6.000000,8.000000,8.000000,8.000000,6.000000,6.000000,8.000000,1.000000,3.000000,2.000000,8.000000,5.000000,2.000000,6.000000,4.000000,8.000000,8.000000,8.000000,6.000000,6.000000,8.000000,8.000000,8.000000,2.000000,2.000000,8.000000,8.000000,8.000000,2.000000,3.000000,4.000000,2.000000,6.000000,6.000000,6.000000,2.000000,2.000000,2.000000,1.000000,1.000000,4.000000,4.000000,4.000000,4.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,6.000000,6.000000,6.000000,6.000000,1.000000,3.000000,2.000000,"0701",7.000000,3.000000,2.000000,,83.330000
"rquAvc3",1.000000,1.000000,3.000000,1.000000,2.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,7.000000,7.000000,7.000000,6.000000,2.000000,2.000000,5.000000,3.000000,3.000000,8.000000,8.000000,5.000000,7.000000,7.000000,6.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,8.000000,8.000000,8.000000,7.000000,8.000000,7.000000,7.000000,8.000000,7.000000,7.000000,7.000000,8.000000,8.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,6.000000,7.000000,8.000000,7.000000,8.000000,7.000000,7.000000,4.000000,,,,,,,,,7.000000,7.000000,7.000000,7.000000,7.000000,1.000000,3.000000,4.000000,"0806",8.000000,3.000000,2.000000,,100.000000
"rrgAiyb",1.000000,2.000000,1.000000,1.000000,2.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,7.000000,7.000000,7.000000,8.000000,7.000000,7.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,7.000000,7.000000,8.000000,7.000000,7.000000,7.000000,8.000000,8.000000,8.000000,8.000000,7.000000,8.000000,8.000000,7.000000,8.000000,7.000000,8.000000,7.000000,8.000000,8.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,4.000000,8.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.000000,7.000000,7.000000,7.000000,7.000000,1.000000,3.000000,5.000000,"1502",15.000000,3.000000,2.000000,,100.000000
"rrgByqc",2.000000,2.000000,4.000000,1.000000,2.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,6.000000,7.000000,6.000000,8.000000,5.000000,5.000000,6.000000,6.000000,6.000000,8.000000,6.000000,6.000000,6.000000,7.000000,6.000000,6.000000,5.000000,6.000000,7.000000,6.000000,7.000000,8.000000,8.000000,8.000000,6.000000,8.000000,8.000000,7.000000,8.000000,6.000000,7.000000,8.000000,8.000000,8.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,8.000000,8.000000,6.000000,6.000000,8.000000,8.000000,8.000000,6.000000,8.000000,4.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.000000,6.000000,6.000000,6.000000,6.000000,1.000000,3.000000,5.000000,"1833",18.000000,3.000000,2.000000,,83.330000
"rs6Ar1b",1.000000,3.000000,3.000000,1.000000,2.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,8.000000,6.000000,6.000000,6.000000,6.000000,7.000000,6.000000,8.000000,8.000000,8.000000,5.000000,8.000000,8.000000,6.000000,8.000000,6.000000,6.000000,6.000000,8.000000,8.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,8.000000,8.000000,6.000000,6.000000,6.000000,4.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.000000,7.000000,6.000000,6.000000,7.000000,1.000000,3.000000,5.000000,"1251",12.000000,1.000000,2.000000,,88.88666666666666
"rs9Be7p",1.000000,3.000000,3.000000,1.000000,2.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,4.000000,7.000000,3.000000,4.000000,4.000000,4.000000,3.000000,3.000000,3.000000,4.000000,4.000000,3.000000,3.000000,8.000000,5.000000,5.000000,4.000000,6.000000,5.000000,5.000000,3.000000,8.000000,8.000000,8.000000,4.000000,8.000000,4.000000,6.000000,8.000000,4.000000,5.000000,8.000000,8.000000,8.000000,5.000000,5.000000,4.000000,5.000000,5.000000,6.000000,6.000000,5.000000,3.000000,4.000000,4.000000,4.000000,8.000000,6.000000,4.000000,4.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,4.000000,4.000000,5.000000,5.000000,1.000000,3.000000,5.000000,"0704",7.000000,3.000000,2.000000,,55.55666666666667
"rsyAzjp",2.000000,3.000000,4.000000,1.000000,2.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,6.000000,2.000000,3.000000,8.000000,2.000000,8.000000,3.000000,3.000000,2.000000,2.000000,8.000000,4.000000,3.000000,2.000000,4.000000,4.000000,3.000000,4.000000,4.000000,5.000000,2.000000,8.000000,4.000000,4.000000,8.000000,8.000000,8.000000,3.000000,8.000000,6.000000,6.000000,8.000000,8.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,5.000000,3.000000,3.000000,3.000000,2.000000,2.000000,3.000000,2.000000,2.000000,4.000000,,,,,,,,,4.000000,3.000000,3.000000,3.000000,4.000000,1.000000,3.000000,3.000000,"1620",16.000000,1.000000,2.000000,,33.330000
"rtaAi7n",1.000000,4.000000,1.000000,1.000000,2.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,7.000000,7.000000,5.000000,6.000000,7.000000,7.000000,3.000000,3.000000,3.000000,8.000000,5.000000,5.000000,3.000000,5.000000,5.000000,7.000000,7.000000,7.000000,6.000000,6.000000,2.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,7.000000,8.000000,6.000000,6.000000,6.000000,8.000000,8.000000,6.000000,6.000000,6.000000,6.000000,7.000000,7.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,4.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.000000,6.000000,6.000000,6.000000,7.000000,1.000000,3.000000,4.000000,"1532",15.000000,2.000000,2.000000,,83.330000
"rtaAp7n",1.000000,1.000000,1.000000,1.000000,2.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,5.000000,5.000000,6.000000,6.000000,6.000000,6.000000,6.000000,5.000000,6.000000,8.000000,6.000000,5.000000,6.000000,6.000000,6.000000,6.000000,8.000000,5.000000,6.000000,6.000000,8.000000,8.000000,8.000000,8.000000,6.000000,5.000000,8.000000,6.000000,5.000000,6.000000,6.000000,6.000000,8.000000,8.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,5.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,4.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.000000,6.000000,6.000000,6.000000,6.000000,1.000000,3.000000,4.000000,"1635",16.000000,1.000000,2.000000,,83.330000
"rtnAjwp",,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,8.000000,6.000000,7.000000,7.000000,6.000000,6.000000,8.000000,8.000000,8.000000,7.000000,7.000000,7.000000,7.000000,7.000000,6.000000,7.000000,8.000000,7.000000,7.000000,7.000000,8.000000,8.000000,8.000000,8.000000,7.000000,8.000000,8.000000,7.000000,8.000000,7.000000,7.000000,7.000000,8.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,6.000000,7.000000,7.000000,7.000000,7.000000,7.000000,6.000000,4.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.000000,7.000000,7.000000,7.000000,7.000000,1.000000,3.000000,4.000000,"1601",16.000000,4.000000,2.000000,,100.000000
"ruaAc7n",1.000000,1.000000,1.000000,1.000000,2.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,8.000000,7.000000,8.000000,8.000000,6.000000,6.000000,6.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,7.000000,6.000000,7.000000,7.000000,7.000000,7.000000,7.000000,8.000000,8.000000,8.000000,8.000000,7.000000,8.000000,8.000000,7.000000,8.000000,7.000000,7.000000,7.000000,8.000000,8.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,8.000000,7.000000,7.000000,7.000000,7.000000,4.000000,,,,,,,,,7.000000,7.000000,7.000000,7.000000,7.000000,1.000000,3.000000,4.000000,"0906",9.000000,3.000000,2.000000,,100.000000
"rusAqsy",1.000000,2.000000,1.000000,1.000000,2.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,5.000000,3.000000,4.000000,4.000000,3.000000,3.000000,3.000000,4.000000,4.000000,5.000000,3.000000,4.000000,4.000000,1.000000,4.000000,3.000000,4.000000,5.000000,5.000000,4.000000,5.000000,4.000000,8.000000,8.000000,4.000000,8.000000,8.000000,4.000000,8.000000,2.000000,4.000000,2.000000,8.000000,8.000000,5.000000,3.000000,3.000000,4.000000,4.000000,4.000000,5.000000,5.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,5.000000,5.000000,5.000000,5.000000,1.000000,3.000000,5.000000,"1933",19.000000,2.000000,2.000000,,66.670000
"ruzApjn",2.000000,3.000000,2.000000,1.000000,2.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,8.000000,7.000000,5.000000,8.000000,6.000000,3.000000,4.000000,5.000000,5.000000,8.000000,6.000000,5.000000,5.000000,5.000000,5.000000,6.000000,8.000000,7.000000,7.000000,7.000000,6.000000,8.000000,6.000000,8.000000,6.000000,6.000000,8.000000,7.000000,7.000000,7.000000,7.000000,6.000000,8.000000,8.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,7.000000,5.000000,7.000000,7.000000,6.000000,7.000000,6.000000,4.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.000000,6.000000,5.000000,5.000000,5.000000,1.000000,3.000000,2.000000,"0301",3.000000,4.000000,2.000000,,72.22333333333334
"rv1Bfjp",1.000000,2.000000,4.000000,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,5.000000,,8.000000,1.000000,1.000000,4.000000,4.000000,4.000000,8.000000,3.000000,3.000000,6.000000,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000,6.000000,6.000000,8.000000,8.000000,8.000000,5.000000,4.000000,6.000000,5.000000,8.000000,4.000000,4.000000,4.000000,8.000000,8.000000,6.000000,6.000000,5.000000,6.000000,6.000000,6.000000,6.000000,5.000000,5.000000,5.000000,5.000000,5.000000,8.000000,5.000000,5.000000,4.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.000000,5.000000,5.000000,6.000000,6.000000,1.000000,3.000000,5.000000,"0301",3.000000,4.000000,2.000000,,72.22333333333334
"rvfAt5y",1.000000,2.000000,1.000000,1.000000,2.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,8.000000,7.000000,7.000000,8.000000,8.000000,7.000000,7.000000,8.000000,8.000000,8.000000,8.000000,7.000000,7.000000,6.000000,5.000000,6.000000,8.000000,8.000000,7.000000,7.000000,8.000000,8.000000,6.000000,8.000000,6.000000,8.000000,8.000000,6.000000,6.000000,7.000000,8.000000,8.000000,8.000000,8.000000,7.000000,7.000000,8.000000,7.000000,7.000000,7.000000,7.000000,8.000000,8.000000,6.000000,8.000000,8.000000,8.000000,6.000000,8.000000,4.000000,,,,,,,,,7.000000,6.000000,6.000000,7.000000,7.000000,1.000000,3.000000,2.000000,"1601",16.000000,4.000000,2.000000,,88.88666666666666
"rvsAety",1.000000,3.000000,,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,8.000000,7.000000,8.000000,8.000000,5.000000,6.000000,7.000000,7.000000,7.000000,8.000000,7.000000,7.000000,,8.000000,8.000000,8.000000,8.000000,7.000000,7.000000,7.000000,7.000000,8.000000,8.000000,8.000000,7.000000,8.000000,7.000000,7.000000,8.000000,7.000000,8.000000,8.000000,8.000000,8.000000,7.000000,7.000000,7.000000,7.000000,7.000000,8.000000,8.000000,8.000000,7.000000,8.000000,8.000000,7.000000,8.000000,8.000000,8.000000,4.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.000000,7.000000,7.000000,7.000000,7.000000,1.000000,3.000000,5.000000,"1903",19.000000,3.000000,2.000000,,100.000000
"rvsAutz",1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,2.000000,4.000000,4.000000,4.000000,8.000000,3.000000,1.000000,5.000000,5.000000,5.000000,6.000000,5.000000,5.000000,6.000000,4.000000,5.000000,6.000000,6.000000,6.000000,6.000000,7.000000,6.000000,8.000000,8.000000,8.000000,4.000000,4.000000,4.000000,4.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,5.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,5.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,4.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.000000,7.000000,7.000000,7.000000,7.000000,1.000000,3.000000,4.000000,"1505",15.000000,3.000000,2.000000,,100.000000
"rwfAb5z",2.000000,3.000000,5.000000,1.000000,2.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,8.000000,7.000000,7.000000,7.000000,8.000000,7.000000,7.000000,8.000000,7.000000,8.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,8.000000,7.000000,7.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,7.000000,8.000000,7.000000,7.000000,8.000000,8.000000,8.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,4.000000,,,,,,,,,7.000000,7.000000,7.000000,7.000000,7.000000,1.000000,3.000000,4.000000,"0301",3.000000,4.000000,2.000000,,100.000000
"rwfAi5z",1.000000,2.000000,2.000000,1.000000,2.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,7.000000,7.000000,4.000000,3.000000,1.000000,1.000000,5.000000,5.000000,5.000000,6.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,5.000000,6.000000,6.000000,6.000000,8.000000,8.000000,4.000000,8.000000,4.000000,4.000000,4.000000,4.000000,4.000000,5.000000,5.000000,8.000000,8.000000,8.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,4.000000,2.000000,2.000000,2.000000,2.000000,8.000000,4.000000,3.000000,4.000000,,,,,,,,,5.000000,4.000000,5.000000,4.000000,5.000000,1.000000,3.000000,5.000000,"1103",11.000000,4.000000,2.000000,,55.55666666666667
"rxtAvtq",2.000000,2.000000,5.000000,1.000000,3.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,4.000000,8.000000,8.000000,2.000000,3.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,8.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,8.000000,8.000000,8.000000,4.000000,8.000000,8.000000,2.000000,8.000000,4.000000,8.000000,8.000000,8.000000,8.000000,5.000000,4.000000,4.000000,5.000000,4.000000,4.000000,4.000000,4.000000,3.000000,3.000000,3.000000,4.000000,4.000000,2.000000,2.000000,4.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,3.000000,3.000000,2.000000,3.000000,1.000000,3.000000,3.000000,"1103",11.000000,4.000000,2.000000,,27.77666666666667
"rxuAgtq",1.000000,1.000000,1.000000,1.000000,2.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,8.000000,7.000000,8.000000,8.000000,7.000000,7.000000,5.000000,5.000000,6.000000,8.000000,5.000000,5.000000,6.000000,5.000000,5.000000,6.000000,6.000000,6.000000,6.000000,7.000000,8.000000,8.000000,8.000000,8.000000,6.000000,8.000000,8.000000,7.000000,8.000000,6.000000,6.000000,6.000000,8.000000,8.000000,7.000000,7.000000,5.000000,6.000000,6.000000,6.000000,7.000000,7.000000,7.000000,6.000000,7.000000,6.000000,8.000000,6.000000,6.000000,4.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.000000,6.000000,6.000000,5.000000,6.000000,1.000000,3.000000,3.000000,"0626",6.000000,3.000000,2.000000,,77.77666666666666
"rxuAguq",2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,5.000000,3.000000,8.000000,8.000000,5.000000,5.000000,6.000000,6.000000,6.000000,8.000000,8.000000,6.000000,7.000000,7.000000,8.000000,6.000000,8.000000,6.000000,7.000000,7.000000,8.000000,8.000000,8.000000,8.000000,6.000000,6.000000,8.000000,6.000000,8.000000,8.000000,6.000000,6.000000,8.000000,8.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,8.000000,7.000000,8.000000,4.000000,,,,,,,,,6.000000,6.000000,6.000000,6.000000,6.000000,1.000000,3.000000,3.000000,"1119",11.000000,2.000000,2.000000,,83.330000
"rxuAytq",2.000000,2.000000,5.000000,1.000000,2.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,5.000000,6.000000,8.000000,6.000000,8.000000,,4.000000,6.000000,8.000000,8.000000,8.000000,4.000000,6.000000,6.000000,6.000000,5.000000,6.000000,6.000000,5.000000,6.000000,8.000000,8.000000,6.000000,8.000000,8.000000,6.000000,8.000000,8.000000,8.000000,8.000000,6.000000,6.000000,6.000000,8.000000,8.000000,8.000000,6.000000,7.000000,6.000000,5.000000,6.000000,6.000000,8.000000,5.000000,4.000000,8.000000,8.000000,8.000000,5.000000,5.000000,4.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.000000,6.000000,6.000000,6.000000,6.000000,1.000000,3.000000,3.000000,"0301",3.000000,4.000000,2.000000,,83.330000
"ryaAhd1",1.000000,1.000000,1.000000,1.000000,2.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,8.000000,7.000000,8.000000,3.000000,4.000000,4.000000,3.000000,3.000000,3.000000,8.000000,4.000000,2.000000,8.000000,2.000000,5.000000,6.000000,8.000000,6.000000,6.000000,6.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,6.000000,8.000000,4.000000,5.000000,5.000000,8.000000,8.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,5.000000,8.000000,6.000000,6.000000,6.000000,8.000000,4.000000,,,,,,,,,5.000000,5.000000,5.000000,8.000000,5.000000,1.000000,3.000000,3.000000,"1804",18.000000,3.000000,2.000000,,66.670000
"ryaAida",2.000000,1.000000,4.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,,,,,6.000000,,4.000000,4.000000,4.000000,,,,,,8.000000,,,,,,,,,,4.000000,8.000000,,8.000000,,,4.000000,,,,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,,,,6.000000,,,,6.000000,,4.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.000000,6.000000,6.000000,8.000000,7.000000,1.000000,3.000000,5.000000,"0227",2.000000,2.000000,2.000000,,83.330000
"rymAq2a",2.000000,2.000000,5.000000,1.000000,2.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,7.000000,4.000000,5.000000,5.000000,6.000000,6.000000,4.000000,4.000000,4.000000,5.000000,5.000000,5.000000,6.000000,5.000000,8.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,8.000000,8.000000,8.000000,6.000000,8.000000,8.000000,6.000000,8.000000,7.000000,7.000000,6.000000,8.000000,8.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,6.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,8.000000,4.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.000000,6.000000,6.000000,6.000000,7.000000,1.000000,3.000000,5.000000,"0534",5.000000,2.000000,2.000000,,83.330000
"rzaAod1",1.000000,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,4.000000,8.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,8.000000,8.000000,8.000000,8.000000,1.000000,3.000000,5.000000,"0301",3.000000,4.000000,2.000000,,
